,index,content,score,sentiment,preprocessed
0,3000,"Tolong dong min tambahkan pilihan menu SL/TP, karena untuk trader pemula itu penting min",4,positive,tolong min pilih menu sl trader min
1,3001,"kalau bisa coin yang ada harus fash update biar ga ketinggalan exchange lain, sejauh ini belum ada masaah",4,positive,coin fash biar tinggal exchange masaah
2,3002,Sejauh ini fiturnya oke dan fee nya juga kompetitif namun Tolong untuk unggah dokumen buat identifikasi buatin fitur searchmya dong biar lebih gampang nyari dokumennya,4,positive,fiturnya oke fee kompetitif tolong unggah dokumen identifikasi fitur searchmya biar gampang cari dokumen
3,3003,"Tolong chart dibuat seperti binance, ada hitungan mundur waktunya. dll.",4,positive,tolong chart binance hitung mundur waktu
4,3004,"Alamat wallet saya kok failed ini min,, Coba setoran dari aplikasi sebelah ke tokocrypto notifnya ""Chain Validation Failed"" Begitu aja terus, kenapa ya min?",4,positive,alamat wallet failed min coba setor aplikasi belah tokocrypto notifnya chain validation failed min
5,3005,"Sertakan refral L,A,5,5,Z,B,D,2 agar akun kalian cepat terverifikasi dan dapet kan kesempatan mendapatkan bonus nya,aplikasi tokocrypto memang sangat membantu pengguna untuk mengetahui cara"" trading yang benar dan juga dengan cara yang aman,kalian bisa mencoba kesempatan bertaring dengan aman dan dengan untung yang menurut saya besar lumayan bisa buat tambahan pemasukan harian kita,dengan proses yang cepat kalian pasti suka menggunakan aplikasi ini",4,positive,refral akun cepat verifikasi bonus aplikasi tokocrypto bantu trading aman coba taring aman untung lumayan pasu proses cepat suka aplikasi
6,3006,Tolong perbaikan trabel saya ga bsa masuk waktu jaringan telah habis,4,positive,tolong trabel waktu jaring habis
7,3007,"Saya kurangi bintangnya ya. Bosen liat tampilannya gitu2 aja, beda jauh sama binance yg terus update, ini fitur gitu2 aja, ga ada staking ga ada apa, boring",4,positive,bintang bosan tampil beda binance fitur staking boring
8,3008,Tolong dibenerin ini aplikasinya tidak bisa menambahkan nomer rekening aneh padahal sudah diisi dengan benar,4,positive,tolong aplikasi nomer rekening aneh isi
9,3009,"Pendaftaran cukup mudah dan gampang, cukup KTP, buku rekening dan foto selfi data langsung di proses. Untuk aplikasinya cukup baik dan stabil, belum pernah saya mengalami jaringan down atau error. Secara umum menu-menu yang ada cukup mudah di mengerti, pemula tidak akan kesulitan (friendly) . Penarikan dan penyetoran dana sangat cepat dan dapat dilakukan setiap saat kita mau. Saran: Lakukan pengembangan terkait dengan tampilan portofolio, yang menampilkan persentase kerugian dan keuntungan.",4,positive,daftar mudah gampang kartu tanda duduk buku rekening foto swafoto data proses aplikasi stabil alami jaring down error umum menu menu mudah erti sulit friendly tari setor dana cepat saran kembang kait tampil portofolio tampil persentase rugi untung
